customer_id,churned,ltv_actual,monthly_charges,tenure_months,churn_probability,predicted_ltv,revenue_at_risk,risk_tier
CUST100049673,1,31.15,71.24,1,0.4716,254.84,120.17,medium
CUST100171551,0,596.26,66.34,3,0.3909,203.79,79.67,medium
CUST100005506,0,1463.07,98.66,8,0.087,913.17,79.42,low
CUST100038370,0,1010.68,133.41,21,0.4588,691.54,317.31,medium
CUST100036930,0,1050.41,93.4,9,0.0592,1054.36,62.45,low
CUST100167783,0,853.14,93.04,67,0.0764,881.73,67.4,low
CUST100067487,1,55.5,39.2,69,0.7273,65.06,47.31,high
CUST100101486,0,1215.2,85.95,40,0.0989,851.84,84.24,low
CUST100131774,0,872.65,108.64,59,0.5223,576.53,301.13,medium
CUST100048246,0,730.26,72.58,70,0.0461,940.57,43.4,low
CUST100147174,1,32.18,95.08,40,0.8641,111.87,96.66,critical
CUST100072470,0,727.88,102.57,23,0.095,916.71,87.13,low
CUST100020386,1,110.49,68.22,13,0.4372,282.47,123.5,medium
CUST100006389,0,884.62,81.06,47,0.05,1018.97,50.94,low
CUST100171910,0,491.49,45.93,61,0.0468,583.16,27.3,low
CUST100105548,0,982.6,68.09,59,0.0735,789.1,58.0,low
CUST100180639,0,560.17,116.18,22,0.4391,607.01,266.52,medium
CUST100155152,1,139.27,110.82,44,0.1658,880.19,145.97,low
CUST100140357,1,55.49,89.18,38,0.8922,54.93,49.01,critical
CUST100177097,0,926.27,99.29,72,0.0465,1304.04,60.69,low
CUST100012263,1,115.91,103.83,47,0.8771,124.48,109.18,critical
CUST100069261,0,1391.04,101.07,53,0.0743,1079.66,80.17,low
CUST100083404,0,530.72,114.59,62,0.2935,625.57,183.59,low
CUST100176923,0,808.93,98.03,16,0.0509,1236.1,62.98,low
CUST100076238,0,471.42,47.86,62,0.0497,550.3,27.37,low
CUST100193280,0,1138.37,93.28,1,0.0964,777.07,74.88,low
CUST100173641,1,57.96,88.67,35,0.5417,339.47,183.9,medium
CUST100031171,1,50.32,49.98,46,0.3884,246.97,95.93,medium
CUST100192188,0,965.95,84.89,60,0.0642,815.65,52.35,low
CUST100036325,0,1585.45,112.93,72,0.0561,1288.17,72.27,low
CUST100156710,0,1619.09,104.91,47,0.047,1408.54,66.18,low
CUST100196013,1,109.97,93.22,21,0.8742,113.19,98.96,critical
CUST100044582,0,532.17,81.03,62,0.073,856.14,62.48,low
CUST100159497,1,43.19,95.15,18,0.8587,87.9,75.47,critical
CUST100139680,0,816.06,95.03,58,0.0556,1159.78,64.44,low
CUST100042719,0,390.59,67.25,6,0.296,385.78,114.2,low
CUST100054726,1,96.64,135.58,8,0.9322,91.71,85.49,critical
CUST100118387,0,1174.71,106.61,67,0.0645,1069.87,69.01,low
CUST100074257,1,167.33,116.96,64,0.7158,399.29,285.8,high
CUST100048567,1,79.06,94.46,14,0.9323,21.65,20.19,critical
CUST100085899,0,1852.22,130.62,65,0.0544,1509.11,82.02,low
CUST100165646,0,553.55,85.18,6,0.2252,574.41,129.39,low
CUST100097047,1,108.77,120.98,17,0.6659,359.17,239.16,high
CUST100063382,0,1501.11,137.52,34,0.0634,1338.5,84.9,low
CUST100116425,0,1201.84,76.92,63,0.0633,799.94,50.6,low
CUST100149798,0,1341.09,131.57,36,0.1209,1215.16,146.91,low
CUST100133439,1,56.02,65.65,33,0.7172,197.46,141.61,high
CUST100005945,1,36.05,61.69,10,0.3122,229.01,71.49,medium
CUST100182931,0,982.82,80.02,21,0.2001,442.67,88.6,low
CUST100150395,1,107.78,93.33,20,0.9357,74.52,69.72,critical
CUST100011448,1,74.15,125.7,72,0.768,495.39,380.44,high
CUST100055287,0,1004.18,99.67,62,0.0708,966.83,68.45,low
CUST100151206,0,617.04,56.54,70,0.069,694.96,47.98,low
CUST100034460,0,1089.55,83.21,29,0.0732,831.08,60.83,low
CUST100036962,0,36.78,108.36,21,0.9138,102.51,93.68,critical
CUST100045406,1,91.62,70.91,10,0.8831,73.63,65.02,critical
CUST100068796,0,456.48,92.03,55,0.5492,356.44,195.78,medium
CUST100087458,0,1001.53,85.45,45,0.0481,1125.13,54.08,low
CUST100128254,0,1278.59,76.62,69,0.0467,986.89,46.12,low
CUST100078823,0,1029.24,94.29,17,0.0611,1100.41,67.2,low
CUST100054624,0,751.34,60.76,26,0.0797,678.17,54.08,low
CUST100095708,0,388.12,86.89,3,0.6312,249.73,157.64,high
CUST100098397,0,806.91,78.74,57,0.0543,960.71,52.14,low
CUST100089501,0,1856.87,117.41,44,0.0627,1245.43,78.12,low
CUST100025275,0,1068.71,62.06,57,0.0463,819.57,37.92,low
CUST100199829,1,57.12,52.12,20,0.8999,27.7,24.93,critical
CUST100089782,0,678.75,107.39,6,0.4835,396.04,191.49,medium
CUST100027145,0,2148.37,123.43,70,0.0484,1574.97,76.24,low
CUST100042792,1,49.88,92.66,61,0.719,259.38,186.5,high
CUST100196871,0,540.5,93.93,70,0.1276,768.68,98.1,low
CUST100160102,1,46.02,75.17,11,0.7942,138.86,110.29,high
CUST100026264,0,813.23,70.61,10,0.052,877.33,45.63,low
CUST100007553,0,1334.84,80.27,51,0.0548,966.8,52.97,low
CUST100092333,0,590.08,33.46,71,0.0461,439.75,20.27,low
CUST100024546,0,49.69,108.64,12,0.9255,70.0,64.78,critical
CUST100033678,1,58.62,42.15,30,0.6286,93.89,59.02,high
CUST100038134,0,1763.08,124.2,61,0.0501,1438.18,72.09,low
CUST100174037,0,457.17,31.09,70,0.0654,366.36,23.98,low
CUST100193142,0,1071.43,65.6,45,0.0468,819.74,38.33,low
CUST100008667,0,228.27,23.0,35,0.0609,227.54,13.87,low
CUST100057454,0,680.13,54.71,41,0.0492,683.56,33.61,low
CUST100050076,0,316.76,89.11,32,0.4951,279.6,138.44,medium
CUST100196575,1,96.9,112.54,55,0.9253,42.1,38.96,critical
CUST100059414,0,707.85,111.12,55,0.2396,859.05,205.84,low
CUST100018444,1,185.19,121.84,6,0.9437,100.1,94.47,critical
CUST100078292,1,35.79,105.17,65,0.4359,671.38,292.67,medium
CUST100031283,0,842.04,96.88,30,0.1982,840.76,166.68,low
CUST100172306,1,164.35,120.23,1,0.9441,77.3,72.98,critical
CUST100021049,0,882.73,91.87,65,0.0567,988.37,56.01,low
CUST100077180,0,424.3,66.87,46,0.1504,501.0,75.34,low
CUST100162825,0,853.53,99.79,54,0.0492,1220.44,60.04,low
CUST100023604,0,1865.43,115.44,60,0.0523,1280.91,67.02,low
CUST100068734,0,1557.02,127.37,53,0.0693,1218.29,84.47,low
CUST100045553,0,1705.39,107.21,49,0.0464,1419.77,65.95,low
CUST100160409,0,1110.4,116.07,56,0.0629,1171.55,73.73,low
CUST100148412,0,1292.35,88.12,70,0.0481,1117.28,53.77,low
CUST100093225,0,936.34,73.86,68,0.0475,903.58,42.94,low
CUST100181828,0,838.03,112.78,53,0.2452,788.34,193.32,low
CUST100041444,0,596.78,126.33,1,0.3382,624.98,211.4,medium
CUST100045393,0,796.35,74.61,38,0.2187,543.84,118.95,low
CUST100160551,0,1224.62,99.68,72,0.0596,1071.93,63.93,low
CUST100080378,0,1033.68,68.92,36,0.0471,863.46,40.66,low
CUST100047587,1,120.55,84.81,1,0.5396,203.73,109.93,medium
CUST100095755,0,297.87,97.57,1,0.7915,234.67,185.73,high
CUST100034345,0,503.72,97.69,26,0.598,311.75,186.41,medium
CUST100183866,0,1089.5,63.55,64,0.048,889.7,42.67,low
CUST100012635,0,1351.91,89.15,51,0.0508,1193.63,60.66,low
CUST100019640,0,688.75,96.6,54,0.0897,955.02,85.68,low
CUST100098229,1,44.42,106.62,44,0.7166,362.34,259.64,high
CUST100098859,0,958.05,95.28,24,0.3418,492.6,168.39,medium
CUST100041048,1,65.8,99.88,60,0.8973,166.92,149.78,critical
CUST100136569,0,1470.55,85.68,66,0.0476,1118.25,53.28,low
CUST100175127,1,123.25,94.79,5,0.9441,71.83,67.81,critical
CUST100102652,0,1213.27,114.7,21,0.0531,1222.24,64.91,low
CUST100114587,0,926.44,89.1,56,0.0506,1022.51,51.74,low
CUST100167376,0,478.47,54.23,57,0.2473,302.38,74.77,low
CUST100084674,1,82.51,85.37,9,0.888,115.11,102.22,critical
CUST100017731,0,766.58,123.45,35,0.1795,757.15,135.87,low
CUST100153242,1,16.24,52.29,37,0.8731,87.12,76.07,critical
CUST100190016,1,38.73,76.65,40,0.2549,403.43,102.83,low
CUST100166150,0,332.0,59.82,11,0.2067,397.32,82.12,low
CUST100128175,0,1166.73,123.05,59,0.0492,1340.89,65.92,low
CUST100069706,0,1505.38,122.03,62,0.1721,851.19,146.47,low
CUST100116466,0,546.33,54.15,65,0.0518,661.4,34.24,low
CUST100046560,1,184.05,110.5,8,0.9403,101.06,95.03,critical
CUST100191494,1,22.79,36.77,38,0.2534,220.6,55.89,low
CUST100080903,1,143.49,100.56,19,0.94,0.0,0.0,critical
CUST100033472,0,766.49,48.13,69,0.047,652.17,30.66,low
CUST100192179,0,701.21,65.6,38,0.047,845.25,39.74,low
CUST100033815,0,201.01,46.78,65,0.5842,110.82,64.74,medium
